unidade;ano;mes;pacientes_pcm;internacoes;tx_paciente_pcm
CSSI;2025;12;14;62;0,22580645161290322
CSSI;2026;1;12;67;0,1791044776119403
HAC;2022;1;0;196;0,0
HAC;2022;2;0;192;0,0
HAC;2022;3;0;208;0,0
HAC;2022;4;0;198;0,0
HAC;2022;5;0;260;0,0
HAC;2022;6;0;249;0,0
HAC;2022;7;0;254;0,0
HAC;2022;8;0;252;0,0
HAC;2022;9;0;198;0,0
HAC;2022;10;0;248;0,0
HAC;2022;11;0;201;0,0
HAC;2022;12;0;232;0,0
HAC;2023;1;0;213;0,0
HAC;2023;2;0;231;0,0
HAC;2023;3;0;289;0,0
HAC;2023;4;0;254;0,0
HAC;2023;5;0;279;0,0
HAC;2023;6;0;268;0,0
HAC;2023;7;0;281;0,0
HAC;2023;8;0;275;0,0
HAC;2023;9;0;274;0,0
HAC;2023;10;0;284;0,0
HAC;2023;11;0;235;0,0
HAC;2023;12;0;250;0,0
HAC;2024;1;0;282;0,0
HAC;2024;2;0;292;0,0
HAC;2024;3;0;293;0,0
HAC;2024;4;0;335;0,0
HAC;2024;5;0;312;0,0
HAC;2024;6;0;278;0,0
HAC;2024;7;0;290;0,0
HAC;2024;8;0;321;0,0
HAC;2024;9;0;312;0,0
HAC;2024;10;0;327;0,0
HAC;2024;11;0;316;0,0
HAC;2024;12;0;293;0,0
HAC;2025;1;0;324;0,0
HAC;2025;2;0;272;0,0
HAC;2025;3;0;334;0,0
HAC;2025;4;0;331;0,0
HAC;2025;5;0;320;0,0
HAC;2025;6;0;307;0,0
HAC;2025;7;0;325;0,0
HAC;2025;8;0;312;0,0
HAC;2025;9;0;326;0,0
HAC;2025;10;0;316;0,0
HAC;2025;11;0;316;0,0
HAC;2025;12;0;286;0,0
HAC;2026;1;0;286;0,0
HCM;2022;1;0;3;0,0
HCM;2022;2;0;3;0,0
HCM;2022;3;0;6;0,0
HCM;2022;4;0;6;0,0
HCM;2022;5;0;5;0,0
HCM;2022;6;0;0;
HCM;2022;7;0;8;0,0
HCM;2022;8;0;3;0,0
HCM;2022;9;0;6;0,0
HCM;2022;10;0;7;0,0
HCM;2022;11;0;0;
HCM;2022;12;0;4;0,0
HCM;2023;1;0;3;0,0
HCM;2023;2;0;0;
HCM;2023;3;0;3;0,0
HCM;2023;4;0;2;0,0
HCM;2023;5;0;6;0,0
HCM;2023;6;0;3;0,0
HCM;2023;7;0;4;0,0
HCM;2023;8;0;1;0,0
HCM;2023;9;0;4;0,0
HCM;2023;10;0;6;0,0
HCM;2023;11;0;6;0,0
HCM;2023;12;0;1;0,0
HCM;2024;1;0;4;0,0
HCM;2024;2;0;9;0,0
HCM;2024;3;0;25;0,0
HCM;2024;4;0;59;0,0
HCM;2024;5;0;31;0,0
HCM;2024;6;0;16;0,0
HCM;2024;7;0;8;0,0
HCM;2024;8;0;2;0,0
HCM;2024;9;0;2;0,0
HCM;2024;10;0;5;0,0
HCM;2024;11;0;3;0,0
HCM;2024;12;0;10;0,0
HCM;2025;1;0;4;0,0
HCM;2025;2;0;12;0,0
HCM;2025;3;0;11;0,0
HCM;2025;4;0;12;0,0
HCM;2025;5;0;6;0,0
HCM;2025;6;0;12;0,0
HCM;2025;7;0;10;0,0
HCM;2025;8;0;11;0,0
HCM;2025;9;0;15;0,0
HCM;2025;10;0;15;0,0
HCM;2025;11;0;23;0,0
HCM;2025;12;0;16;0,0
HCM;2026;1;1;19;0,05263157894736842
HEM;2022;1;0;214;0,0
HEM;2022;2;0;119;0,0
HEM;2022;3;0;117;0,0
HEM;2022;4;0;108;0,0
HEM;2022;5;0;171;0,0
HEM;2022;6;0;158;0,0
HEM;2022;7;0;167;0,0
HEM;2022;8;0;169;0,0
HEM;2022;9;0;184;0,0
HEM;2022;10;0;164;0,0
HEM;2022;11;0;182;0,0
HEM;2022;12;0;182;0,0
HEM;2023;1;0;166;0,0
HEM;2023;2;0;155;0,0
HEM;2023;3;0;167;0,0
HEM;2023;4;0;153;0,0
HEM;2023;5;0;143;0,0
HEM;2023;6;0;151;0,0
HEM;2023;7;0;137;0,0
HEM;2023;8;0;177;0,0
HEM;2023;9;0;126;0,0
HEM;2023;10;0;122;0,0
HEM;2023;11;0;129;0,0
HEM;2023;12;0;156;0,0
HEM;2024;1;0;261;0,0
HEM;2024;2;0;384;0,0
HEM;2024;3;0;427;0,0
HEM;2024;4;0;360;0,0
HEM;2024;5;0;245;0,0
HEM;2024;6;0;166;0,0
HEM;2024;7;0;156;0,0
HEM;2024;8;0;140;0,0
HEM;2024;9;0;151;0,0
HEM;2024;10;0;144;0,0
HEM;2024;11;0;149;0,0
HEM;2024;12;0;135;0,0
HEM;2025;1;0;148;0,0
HEM;2025;2;0;145;0,0
